snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
HS221F_WL01,stj,HS221F,SB,NO,568536.3448,5221701.439,1157.81,WL,0.2,13.26,BT,FULL,N,N,N,Y,Y,0
HS221F_WL02,stj,HS221F,SB,NO,568519.1918,5221683.124,1164.21,WL,0.27,14.02,BT,FULL,N,N,N,Y,Y,0
HS221F_WL03,stj,HS221F,SB,NO,568534.1435,5221688.521,1142.03,WL,0.22,12.98,BT,FULL,N,N,N,Y,Y,0
HS221F_WL04,stj,HS221F,SB,NO,568538.4883,5221699.685,1149.09,WL,0.24,NA,BT,FULL,N,N,S,Y,Y,0
HS221F_WL05,stj,HS221F,SB,NO,568547.3102,5221697.453,1146.65,WL,0.28,12.77,BT,FULL,C,N,S,Y,Y,0
HS221F_WL07,stj,HS221F,SB,NO,568520.2687,5221681.803,1182.87,WL,0.22,NA,BT,FULL,N,N,N,Y,Y,0
HS222A_GF01,stj,HS222A,LI,NO,569685.4637,5221197.914,1378.72,GF,0.41,NA,INTACT,FULL,C,Y,S,Y,Y,0
HS222A_GF02,stj,HS222A,SI,YES,569681.6489,5221193.423,1392.01,GF,0.34,NA,INTACT,FULL,M,Y,S,Y,Y,0
HS222A_GF04,stj,HS222A,SI,YES,569675.8482,5221183.685,1379.5,GF,0.18,NA,INTACT,SOME,V,N,S,Y,Y,0
HS222A_UN01,stj,HS222A,LI,NO,569690.6996,5221191.195,1378.3,UN,0.68,NA,INTACT,NONE,N,N,L,N,Y,0
HS222A_UN02,stj,HS222A,LB,NO,569670.2032,5221186.509,1389.06,UN,0.59,NA,BT,NONE,N,N,L,Y,Y,0
HS222A_UN03,stj,HS222A,LI,NO,569662.3617,5221176.191,1395.17,UN,0.61,NA,INTACT,NONE,N,N,L,Y,Y,0
HS222A_UN04,stj,HS222A,LI,NO,569660.5027,5221185.95,1377.96,UN,0.62,NA,INTACT,NONE,N,N,S,Y,Y,0
HS222A_UN05,stj,HS222A,LI,NO,569679.833,5221186.622,1395.8,UN,0.45,NA,INTACT,NONE,N,N,S,Y,Y,0
HS222C_GF02,stj,HS222C,SI,NO,571065.3284,5220227.675,1444.26,GF,0.16,13.86,INTACT,FULL,N,N,S,Y,Y,0
HS222C_GF03,stj,HS222C,SI,NO,571063.1639,5220212.089,1446.41,GF,0.21,18.2,INTACT,SOME,N,N,S,N,Y,0
